Zeiten gesamt;Vorbereitungsszeit;Inferenzzeit;Verarbeitungszeit;Groesse;Name;Modell
6.825933;0.563997;6.013142;0.047083;125658; image87;Faster-R-CNN ResNet101 V1
6.635512;0.534163;5.820550;0.052894;130969; image88;Faster-R-CNN ResNet101 V1
7.071033;0.584617;6.207776;0.052627;113074; image89;Faster-R-CNN ResNet101 V1
9.073984;0.470481;8.316174;0.054209;36113; image90;Faster-R-CNN ResNet101 V1
9.326295;0.398515;8.679935;0.046474;17013; image91;Faster-R-CNN ResNet101 V1
6.845643;0.357189;6.113494;0.070688;52255; image92;Faster-R-CNN ResNet101 V1
6.677672;0.478456;5.932360;0.050427;45158; image93;Faster-R-CNN ResNet101 V1
6.744029;0.546261;5.971232;0.042478;61296; image94;Faster-R-CNN ResNet101 V1
5.623565;0.049471;5.311726;0.049533;13805; image95;Faster-R-CNN ResNet101 V1
6.078681;0.381640;5.417515;0.052564;127504; image96;Faster-R-CNN ResNet101 V1
6.966146;0.651991;5.924994;0.073487;199252; image97;Faster-R-CNN ResNet101 V1
7.110983;0.582883;6.076370;0.085382;156151; image98;Faster-R-CNN ResNet101 V1
7.136649;0.575878;6.098152;0.087505;134013; image99;Faster-R-CNN ResNet101 V1
7.804037;0.680472;6.117592;0.190887;310439; image100;Faster-R-CNN ResNet101 V1
10.230405;0.078175;9.731178;0.079270;12622; image101;Faster-R-CNN ResNet101 V1
7.641334;0.909100;6.425759;0.057549;68909; image102;Faster-R-CNN ResNet101 V1
7.318794;0.681565;6.209479;0.080823;158761; image103;Faster-R-CNN ResNet101 V1
1.137889;0.616657;0.479579;0.039725;109303;image1;EfficientDet D0
1.115284;0.640946;0.425640;0.043314;99258; image2;EfficientDet D0
0.996690;0.548254;0.411927;0.031337;53860; image3;EfficientDet D0
1.035985;0.582506;0.415140;0.035846;80367; image4;EfficientDet D0
1.049033;0.592567;0.415895;0.038167;113572; image5;EfficientDet D0
1.048690;0.588482;0.417376;0.039632;84649; image6;EfficientDet D0
1.094232;0.633565;0.418710;0.041406;89931; image7;EfficientDet D0
1.052373;0.600686;0.404189;0.045391;127682; image8;EfficientDet D0
1.333869;0.865459;0.418190;0.048348;234274; image9;EfficientDet D0
1.070649;0.590433;0.437834;0.040933;120329; image10;EfficientDet D0
1.546338;0.792233;0.702490;0.047891;76042; image11;EfficientDet D0
1.964795;1.140566;0.770766;0.048040;61060; image12;EfficientDet D0
2.555216;1.699707;0.773357;0.079238;193722; image13;EfficientDet D0
1.848977;1.045902;0.734955;0.064821;53569; image14;EfficientDet D0
2.418769;1.581182;0.767116;0.068404;89915; image15;EfficientDet D0
1.812992;1.060370;0.698685;0.048998;72731; image16;EfficientDet D0
1.718681;1.248625;0.406771;0.060758;145966; image17;EfficientDet D0
1.121301;0.656714;0.402509;0.059492;222223; image18;EfficientDet D0
1.041194;0.592150;0.411749;0.034818;50392; image19;EfficientDet D0
0.470396;0.041030;0.414339;0.012210;13742; image20;EfficientDet D0
1.045102;0.539315;0.466003;0.036541;43737; image21;EfficientDet D0
1.079593;0.579644;0.452943;0.044558;114016; image22;EfficientDet D0
1.065582;0.569340;0.438824;0.054986;186288; image23;EfficientDet D0
1.072050;0.583852;0.442607;0.042393;120769; image24;EfficientDet D0
1.049087;0.573479;0.436641;0.037468;81936; image25;EfficientDet D0
1.162647;0.665066;0.435522;0.061586;173711; image26;EfficientDet D0
1.049402;0.589085;0.398972;0.059403;176606; image27;EfficientDet D0
1.061556;0.604202;0.418790;0.037115;90089; image28;EfficientDet D0
1.108695;0.616485;0.440373;0.045192;150503; image29;EfficientDet D0
1.584367;0.794598;0.716980;0.069793;87159; image30;EfficientDet D0
0.803376;0.082935;0.695848;0.020901;14053; image31;EfficientDet D0
0.773472;0.078008;0.680786;0.012471;10151; image32;EfficientDet D0
2.292328;1.426052;0.800048;0.062838;120622; image33;EfficientDet D0
1.526955;0.591760;0.902976;0.029664;34572; image34;EfficientDet D0
1.510427;0.513618;0.958994;0.033390;21610; image35;EfficientDet D0
1.459376;0.431621;0.984473;0.036143;21125; image36;EfficientDet D0
2.550752;1.528450;0.986431;0.035327;54175; image37;EfficientDet D0
2.245095;1.438502;0.747483;0.056276;82218; image38;EfficientDet D0
1.031533;0.556603;0.445669;0.027003;35768; image39;EfficientDet D0
0.965490;0.509816;0.425157;0.028814;39957; image40;EfficientDet D0
1.075758;0.615581;0.418860;0.037362;64533; image41;EfficientDet D0
1.069960;0.615758;0.411685;0.040826;108233; image42;EfficientDet D0
1.077611;0.613138;0.414817;0.043635;140182; image43;EfficientDet D0
0.484797;0.041893;0.429117;0.011867;16522; image44;EfficientDet D0
1.116547;0.587343;0.463503;0.063105;171547; image45;EfficientDet D0
1.091408;0.612823;0.436207;0.040075;119855; image46;EfficientDet D0
0.730755;0.291099;0.411624;0.022965;40434; image47;EfficientDet D0
0.980483;0.525268;0.423560;0.029584;34472; image48;EfficientDet D0
1.064994;0.591185;0.433131;0.036267;59974; image49;EfficientDet D0
1.054826;0.597198;0.414603;0.041746;73668; image50;EfficientDet D0
1.053634;0.590143;0.414211;0.046575;141496; image51;EfficientDet D0
